,train_acc,test_acc,p_norm
0,1.0,0.688137412071228,0.12555961310863495
1,0.9939879775047302,0.6849167943000793,0.1257925182580948
2,0.9839679598808289,0.6999462842941284,0.1256537288427353
3,0.9949899911880493,0.6951153874397278,0.12582767009735107
4,0.9879759550094604,0.6902844905853271,0.1255411058664322
5,0.9899799823760986,0.688137412071228,0.1255003660917282
6,0.9939879775047302,0.6827697157859802,0.12563306093215942
7,0.9889779686927795,0.6972624659538269,0.1257350742816925
8,0.9919840097427368,0.6940418481826782,0.12578989565372467
9,0.9939879775047302,0.6918947696685791,0.12527023255825043
