,train_acc,test_acc,p_norm
0,0.9963054060935974,0.713060736656189,0.10412859916687012
1,0.9975369572639465,0.7216359376907349,0.10399281233549118
2,0.9950738549232483,0.7335092425346375,0.1038624718785286
3,0.9975369572639465,0.7203166484832764,0.1038624718785286
4,0.9963054060935974,0.7275725603103638,0.10426631569862366
5,0.9926108121871948,0.6985488533973694,0.10453633964061737
6,0.9975369572639465,0.7137203216552734,0.10447404533624649
7,0.9987684488296509,0.6939314007759094,0.10355139523744583
8,0.9963054060935974,0.7077836990356445,0.10443490743637085
9,0.9975369572639465,0.7110818028450012,0.10411107540130615
